order_item_id,order_id,product_id,quantity,unit_price
1,575,967,3,28.62
2,575,767,3,19.5
3,798,387,2,23.3
4,375,578,5,10.44
5,152,834,1,16.32
6,221,319,2,19.7
7,440,884,2,99.11
8,646,817,1,88.55
9,340,138,3,81.58
10,469,450,2,96.12
11,147,12,3,67.67
12,742,531,3,10.87
13,11,511,1,68.02
14,776,162,3,77.16
15,493,138,4,13.04
16,247,125,2,37.36
17,627,335,3,78.68
18,585,166,1,78.63
19,982,309,5,61.22
20,669,801,2,44.7
21,26,601,5,70.75
22,412,823,2,94.02
23,488,247,3,69.76
24,538,175,4,61.85
25,399,699,3,28.21
26,707,437,2,81.4
27,357,467,4,50.76
28,320,786,5,27.25
29,234,250,4,73.01
30,868,76,5,40.02
31,778,727,1,18.89
32,209,615,4,44.52
33,284,290,5,70.83
34,567,687,4,97.35
35,749,690,5,77.17
36,638,686,4,65.3
37,244,687,1,13.63
38,552,557,5,46.33
39,917,620,3,47.12
40,687,587,2,66.03
41,415,872,1,12.92
42,985,87,2,61.14
43,608,37,3,40.89
44,525,897,5,84.71
45,370,352,3,55.67
46,64,948,5,40.37
47,626,313,2,22.85
48,145,447,3,19.38
49,784,83,1,74.26
50,756,152,3,43.04
51,281,503,3,54.94
52,174,702,2,17.17
53,890,743,5,21.15
54,692,639,3,51.95
55,312,306,3,35.96
56,185,929,2,81.39
57,692,757,2,56.55
58,341,161,3,73.01
59,911,805,5,93.13
60,637,588,5,97.69
61,650,621,5,49.2
62,804,348,2,77.03
63,335,864,3,99.62
64,476,370,5,14.04
65,790,112,1,88.47
66,145,121,4,66.72
67,322,782,2,92.48
68,414,637,5,96.94
69,448,300,5,58.63
70,616,298,2,92.51
71,762,671,4,80.65
72,332,283,4,22.64
73,501,751,5,82.33
74,582,659,4,70.75
75,834,494,3,12.24
76,270,929,5,15.77
77,219,569,5,78.88
78,482,391,2,22.42
79,108,713,2,26.33
80,773,392,5,96.89
81,549,958,5,21.8
82,114,189,5,84.92
83,304,971,4,31.88
84,503,878,5,25.36
85,88,375,3,10.67
86,745,824,3,63.0
87,401,143,4,39.59
88,288,217,2,45.28
89,55,490,4,13.58
90,192,661,1,31.9
91,249,930,5,90.23
92,525,884,2,50.73
93,40,301,3,89.48
94,661,498,1,68.84
95,100,866,5,10.71
96,990,114,2,46.23
97,490,247,3,88.55
98,5,360,5,22.73
99,574,222,3,19.23
100,877,677,3,74.82
101,269,685,5,96.75
102,18,888,3,98.73
103,513,548,4,67.35
104,867,484,2,71.89
105,977,764,3,65.54
106,631,665,1,66.36
107,50,121,3,29.67
108,346,387,4,49.21
109,112,141,5,57.64
110,823,619,5,11.37
111,718,412,1,70.41
112,482,751,2,15.42
113,127,557,5,97.99
114,748,108,2,49.25
115,901,88,5,28.45
116,278,609,2,56.53
117,321,255,3,10.58
118,153,297,1,55.09
119,100,811,5,79.94
120,458,922,2,34.13
121,514,883,1,25.91
122,435,547,3,41.69
123,893,366,1,69.85
124,605,691,2,68.03
125,905,570,3,19.87
126,834,715,2,32.12
127,20,711,2,19.06
128,99,138,5,80.52
129,145,262,1,40.89
130,23,242,1,39.19
131,184,413,5,45.25
132,35,555,5,94.44
133,469,508,5,88.42
134,125,546,5,19.02
135,459,845,4,44.65
136,90,598,4,57.82
137,956,251,1,44.53
138,429,967,3,16.84
139,7,180,4,42.0
140,546,994,5,97.36
141,957,998,5,61.57
142,594,206,1,88.65
143,522,47,5,82.43
144,197,241,2,90.71
145,793,688,4,63.61
146,826,890,3,57.22
147,509,531,1,44.5
148,866,913,2,33.14
149,893,951,4,83.5
150,521,459,3,48.63
151,543,438,4,50.9
152,973,781,2,53.61
153,501,165,2,80.04
154,392,106,1,68.46
155,708,734,1,76.4
156,734,446,1,32.43
157,284,444,3,91.21
158,122,902,3,51.01
159,807,704,1,60.7
160,366,457,2,78.53
161,851,775,1,69.85
162,659,927,5,70.38
163,526,190,2,62.55
164,539,589,5,34.15
165,661,1,3,16.9
166,73,880,3,59.93
167,420,58,1,68.86
168,646,98,4,96.13
169,946,670,1,68.91
170,213,100,5,41.29
171,925,897,4,11.61
172,531,456,4,95.65
173,157,832,3,78.91
174,112,188,3,82.59
175,633,232,1,53.89
176,506,398,5,96.42
177,831,380,5,91.36
178,913,317,1,64.72
179,543,850,2,10.57
180,81,977,4,65.8
181,166,244,3,10.33
182,384,163,5,10.11
183,673,100,1,38.65
184,994,9,5,13.99
185,746,367,1,50.53
186,887,82,3,43.22
187,293,772,1,29.92
188,148,832,5,71.41
189,10,391,3,57.2
190,387,427,3,12.04
191,350,265,3,74.81
192,586,598,1,77.14
193,726,285,4,80.75
194,973,278,5,59.82
195,340,671,3,94.78
196,955,354,4,66.85
197,32,764,2,90.33
198,955,919,2,28.04
199,342,148,5,12.63
200,209,322,5,10.56
201,884,785,4,19.4
202,281,259,5,18.03
203,402,190,5,39.89
204,214,322,4,75.37
205,557,73,5,25.75
206,171,850,1,60.27
207,581,421,5,97.24
208,253,618,2,15.12
209,230,989,4,69.39
210,309,555,2,24.68
211,343,305,3,81.39
212,179,57,2,71.97
213,678,779,1,67.53
214,139,602,2,75.88
215,19,348,3,34.67
216,728,443,4,96.79
217,848,683,5,47.89
218,342,627,3,76.39
219,985,133,2,30.97
220,133,14,4,61.65
221,692,334,2,72.76
222,341,125,2,25.48
223,814,594,2,80.64
224,215,935,1,94.46
225,544,928,5,94.6
226,293,783,1,34.18
227,846,979,2,10.89
228,411,135,5,84.94
229,132,78,5,51.02
230,459,463,1,27.76
231,326,107,4,23.32
232,124,590,3,81.7
233,279,736,2,16.91
234,423,235,2,95.26
235,329,635,2,92.51
236,728,345,5,24.34
237,501,909,2,89.64
238,932,773,2,82.33
239,92,874,5,95.31
240,764,876,1,76.58
241,44,840,2,24.79
242,936,574,2,84.07
243,477,14,1,45.16
244,819,727,3,15.98
245,379,740,4,68.83
246,227,905,5,14.06
247,711,222,3,73.47
248,551,81,4,33.77
249,119,501,3,24.42
250,458,115,1,50.85
251,702,510,4,51.48
252,32,431,1,28.17
253,587,395,2,59.64
254,7,630,2,44.04
255,577,606,3,39.14
256,453,239,5,51.82
257,82,348,5,67.68
258,803,182,3,92.52
259,782,396,1,16.21
260,26,132,1,91.52
261,976,263,1,62.93
262,441,440,5,78.95
263,336,824,2,87.3
264,683,321,3,54.96
265,43,181,2,41.52
266,756,758,5,79.59
267,479,3,4,38.49
268,954,753,3,67.71
269,883,330,3,89.15
270,764,162,2,50.47
271,373,51,2,60.14
272,419,267,4,36.45
273,429,797,5,59.33
274,689,770,2,88.29
275,778,809,5,85.48
276,789,572,5,63.82
277,593,396,3,46.44
278,610,189,1,95.44
279,219,567,4,13.6
280,103,883,2,86.76
281,29,683,4,45.21
282,538,902,1,68.89
283,96,535,5,56.7
284,986,163,4,32.92
285,411,922,1,54.23
286,276,908,5,53.51
287,35,570,1,99.26
288,90,235,2,21.05
289,344,897,4,21.02
290,32,347,1,24.11
291,593,296,3,22.8
292,439,463,5,79.32
293,349,648,2,97.17
294,330,819,1,80.0
295,454,488,3,18.74
296,381,362,5,46.37
297,508,483,2,26.07
298,960,379,3,75.37
299,716,2,1,77.14
300,293,850,5,78.93
301,940,746,3,46.29
302,818,586,3,14.29
303,99,838,4,93.02
304,478,883,1,65.01
305,59,867,4,44.28
306,4,199,2,57.12
307,990,577,2,44.01
308,724,174,3,67.49
309,110,166,5,73.63
310,678,318,5,17.72
311,415,231,5,16.32
312,115,742,2,52.85
313,735,201,5,48.41
314,772,278,3,28.69
315,190,315,5,52.53
316,307,554,1,19.55
317,135,979,2,44.79
318,59,969,5,69.95
319,114,670,5,75.51
320,424,887,1,91.02
321,524,670,3,80.27
322,594,290,3,22.74
323,204,286,3,28.91
324,93,45,3,53.82
325,593,982,4,58.74
326,864,853,5,65.91
327,935,736,1,29.85
328,654,6,5,28.31
329,318,289,5,62.21
330,412,232,5,22.28
331,594,40,2,84.74
332,654,483,3,75.33
333,492,583,4,24.32
334,451,435,1,61.77
335,64,820,3,45.97
336,436,419,1,52.67
337,380,54,2,31.54
338,7,648,5,19.1
339,891,162,3,40.68
340,937,37,4,97.0
341,411,302,3,14.57
342,158,265,2,47.94
343,519,602,1,18.95
344,259,12,5,51.04
345,168,791,3,11.11
346,805,913,2,19.32
347,716,409,3,48.59
348,679,718,2,58.97
349,786,118,3,38.17
350,246,829,5,45.32
351,30,642,3,46.43
352,452,281,5,24.71
353,73,272,3,86.1
354,81,671,4,97.41
355,769,792,4,16.38
356,683,968,3,67.36
357,685,353,3,80.12
358,953,173,5,40.93
359,763,466,4,55.64
360,715,22,2,13.05
361,253,186,2,45.42
362,545,124,5,26.46
363,57,383,4,78.1
364,674,520,5,24.44
365,343,793,4,26.71
366,864,790,1,74.72
367,36,939,4,31.79
368,285,50,3,43.56
369,657,664,4,30.71
370,53,279,4,62.55
371,587,702,2,23.55
372,410,482,3,48.61
373,361,717,5,82.56
374,947,172,1,98.16
375,597,367,1,34.48
376,774,852,1,70.91
377,892,190,5,36.7
378,76,13,1,98.18
379,777,393,2,52.72
380,917,579,5,73.35
381,872,38,3,38.57
382,48,142,5,90.95
383,864,479,2,18.17
384,938,425,1,58.78
385,726,595,4,85.43
386,758,460,4,16.45
387,109,460,4,93.86
388,546,956,3,15.2
389,885,505,5,40.75
390,834,721,3,57.4
391,568,525,4,86.78
392,485,284,1,37.21
393,719,906,1,10.56
394,752,264,4,68.26
395,54,911,2,59.73
396,199,359,1,81.09
397,687,160,2,68.31
398,936,315,4,64.67
399,800,858,1,81.16
400,60,256,5,74.38
401,715,554,1,18.4
402,847,457,2,94.02
403,574,486,3,94.98
404,95,150,3,30.65
405,872,426,4,23.03
406,417,177,2,89.94
407,485,264,1,53.14
408,109,808,2,62.99
409,256,661,2,71.67
410,658,773,2,47.04
411,923,627,3,85.17
412,312,448,4,81.3
413,638,694,2,43.24
414,792,121,3,44.05
415,23,631,4,82.07
416,842,113,4,68.7
417,315,905,4,46.3
418,848,177,3,59.78
419,169,980,5,55.21
420,317,636,5,43.88
421,237,736,1,64.09
422,213,608,5,13.87
423,600,166,1,72.83
424,134,560,1,61.08
425,482,956,4,83.28
426,534,423,2,65.91
427,638,960,4,93.42
428,402,828,3,52.09
429,235,253,1,99.8
430,691,352,2,44.92
431,476,384,2,12.72
432,751,200,3,10.13
433,841,585,2,73.14
434,907,759,1,50.96
435,708,362,2,56.27
436,624,36,3,15.39
437,824,311,3,39.52
438,696,908,4,94.94
439,634,821,1,75.99
440,61,810,1,63.47
441,802,792,1,29.94
442,420,168,2,90.62
443,829,961,5,29.42
444,364,589,3,93.0
445,772,821,5,90.35
446,412,819,3,64.2
447,943,530,5,80.67
448,247,957,1,30.08
449,644,663,4,37.08
450,310,354,2,29.05
451,464,785,5,22.67
452,109,299,5,11.39
453,411,82,4,97.59
454,528,375,1,59.1
455,709,848,3,16.63
456,100,692,1,70.37
457,124,585,4,65.19
458,263,315,5,61.83
459,335,674,5,65.63
460,205,592,2,60.78
461,340,973,3,38.19
462,220,26,2,63.2
463,347,727,1,72.44
464,864,385,4,43.41
465,203,255,2,82.4
466,269,363,4,58.76
467,487,310,1,52.88
468,337,844,5,44.0
469,55,46,1,46.62
470,191,105,3,55.04
471,441,791,4,78.63
472,617,421,3,85.31
473,95,681,2,66.02
474,173,684,5,44.7
475,632,361,4,17.56
476,986,15,3,24.57
477,343,766,1,38.37
478,796,600,5,60.45
479,57,699,3,57.93
480,61,613,1,30.13
481,129,957,5,69.6
482,19,292,4,18.56
483,850,635,5,86.87
484,250,2,1,66.76
485,536,333,5,90.45
486,302,73,4,56.99
487,47,461,2,67.82
488,365,968,5,82.83
489,32,342,3,61.95
490,358,298,5,10.93
491,811,198,4,22.65
