order_id,customer_id,product_id,quantity,total_amount,order_status,timestamp
2,724897,991982,4,540.44,Processing,1/10/2024 3:20
3,493640,13173,5,92.66,Delivered,11/7/2023 19:14
4,586546,876337,5,213.1,Shipped,4/12/2024 7:33
5,539104,120363,1,466.94,Processing,5/18/2024 21:23
6,578204,207944,4,890.46,Delivered,2/13/2024 17:14
7,996061,485918,2,352.66,Shipped,5/11/2024 18:49
8,723189,849955,1,127.67,Shipped,11/7/2023 1:13
9,567045,670438,1,20.34,Processing,1/4/2024 6:57
10,489409,152906,5,1276.89,Pending,5/7/2024 21:30
11,108187,604057,2,921.63,Pending,10/11/2023 19:27
12,987824,823769,2,617.16,Shipped,7/4/2024 8:35
13,647231,505430,5,1210.29,Pending,2/14/2024 23:55
14,835695,335645,5,2255.66,Processing,10/27/2023 13:46
15,322558,38177,4,810.23,Delivered,11/6/2023 22:56
16,874719,442245,2,518.37,Delivered,9/5/2023 10:33
17,201657,164108,2,83.55,Shipped,8/12/2023 11:49
18,713758,420843,1,315.81,Processing,12/13/2023 11:00
19,896216,602931,3,1481.81,Pending,7/10/2024 18:48
20,380482,632778,5,1312.31,Delivered,6/18/2024 15:11
21,653808,243772,4,1625.6,Pending,4/13/2024 19:17
22,220635,760550,5,176.12,Pending,10/5/2023 3:48
23,247030,9017,2,352.06,Processing,8/3/2023 0:06
24,570351,995532,2,161.07,Shipped,3/7/2024 23:18
25,320860,300789,3,459.1,Processing,4/16/2024 3:37
26,982863,938256,5,497.35,Pending,6/4/2024 21:05
27,675626,939759,1,249.16,Pending,10/15/2023 3:08
28,657371,949431,3,118.93,Shipped,9/16/2023 4:17
29,238838,737001,2,240.64,Pending,3/4/2024 21:39
30,102229,66679,3,399.22,Processing,6/20/2024 16:37
31,353574,806774,1,305.33,Delivered,11/7/2023 2:58
32,99367,541323,2,359.88,Pending,2/27/2024 15:51
33,380053,940034,2,335.06,Delivered,12/5/2023 8:06
34,142573,329433,5,1187.52,Processing,6/2/2024 5:13
35,899415,91052,5,1869.16,Delivered,5/1/2024 4:13
36,264371,762748,1,314.87,Processing,1/29/2024 14:22
37,157359,126098,3,1186.27,Pending,10/24/2023 11:22
38,308746,333885,5,1350.6,Delivered,11/17/2023 11:26
39,504666,684483,3,290.56,Shipped,12/23/2023 17:06
40,61201,189379,5,1095.97,Pending,9/11/2023 12:50
41,288579,986125,3,423.49,Shipped,4/4/2024 3:23
