payment_id,customer_id,amount,payment_method,timestamp
1,267446,650.72,Debit Card,11/5/2023 15:47
2,319939,407.82,Bank Transfer,3/20/2024 22:30
3,170586,367.92,PayPal,9/8/2023 15:05
4,897150,705.06,Bank Transfer,10/15/2023 17:33
5,308834,714.39,Debit Card,9/6/2023 5:36
6,899376,664.61,Debit Card,7/19/2024 7:12
7,25183,601.44,PayPal,8/25/2023 12:29
8,512620,619.71,Debit Card,3/24/2024 10:56
9,196013,239.94,Bank Transfer,9/5/2023 8:29
10,577447,82.13,Credit Card,11/10/2023 16:48
11,708600,128.26,PayPal,11/5/2023 12:05
12,323587,506.28,Bank Transfer,9/23/2023 13:45
13,432741,770.28,Debit Card,6/1/2024 3:50
14,624059,234.81,Debit Card,5/5/2024 20:45
15,47066,984.57,Credit Card,2/27/2024 5:55
16,560956,425.95,Credit Card,11/7/2023 12:14
17,368060,820.35,PayPal,8/14/2023 7:11
18,675812,714.29,PayPal,12/26/2023 14:15
19,65755,550.26,Debit Card,7/12/2024 20:52
20,513918,680.2,Credit Card,7/23/2023 1:32
21,185601,255.03,Bank Transfer,6/20/2024 2:12
22,729371,619.82,Credit Card,8/1/2023 8:11
23,643452,895.54,Bank Transfer,12/1/2023 11:08
24,968349,662.05,PayPal,12/24/2023 16:52
25,888824,312.17,Credit Card,5/10/2024 17:03
26,269690,380.71,Bank Transfer,6/29/2024 4:45
27,542002,148.31,Bank Transfer,1/27/2024 19:17
28,63692,630.69,Debit Card,3/10/2024 5:54
29,578780,709.88,Credit Card,2/22/2024 21:32
30,28947,187.22,Debit Card,1/15/2024 22:46
31,384704,149.45,PayPal,2/9/2024 12:11
32,203158,294.2,PayPal,12/8/2023 16:30
33,249176,342.45,Debit Card,2/19/2024 0:48
34,99259,540.67,Credit Card,6/27/2024 10:50
35,427317,193.98,Bank Transfer,8/8/2023 12:02
36,825275,760.28,Bank Transfer,12/22/2023 23:09
37,741436,361.38,Debit Card,8/7/2023 4:08
38,598632,719.85,Credit Card,10/15/2023 1:56
39,443938,596.27,Debit Card,7/29/2023 4:28
40,496222,627.13,Debit Card,12/28/2023 20:32
41,23440,723.52,Debit Card,5/30/2024 2:39
42,948644,245.33,Credit Card,12/3/2023 20:14
43,107965,250.56,PayPal,1/2/2024 23:18
44,361688,386.01,PayPal,3/14/2024 10:28
45,711837,72.94,PayPal,6/18/2024 10:09
46,593368,701.87,Debit Card,2/21/2024 9:22
47,938815,926.94,PayPal,7/2/2024 16:11
48,76824,896.6,Bank Transfer,3/15/2024 7:16
49,722401,505.53,Debit Card,1/14/2024 5:40
50,782162,604.94,Bank Transfer,5/2/2024 17:22
51,500276,873.25,PayPal,7/3/2024 22:48
52,298135,657.97,Bank Transfer,6/8/2024 4:38
53,369856,381.74,Debit Card,3/8/2024 6:28
54,245913,893.8,Credit Card,9/18/2023 8:57
55,232345,828.59,Bank Transfer,5/21/2024 15:08
56,903929,721.32,PayPal,12/25/2023 16:15
57,148315,493.01,PayPal,4/24/2024 22:04
58,72603,170.05,Debit Card,6/15/2024 3:28
59,972572,191.99,Credit Card,3/5/2024 21:02
60,620974,968.64,PayPal,1/18/2024 21:13
61,265614,75.11,Bank Transfer,11/22/2023 12:03
62,965725,871.98,Debit Card,12/8/2023 18:25
63,48542,560.46,Debit Card,10/9/2023 1:26
64,829946,189.42,Debit Card,9/16/2023 3:54
65,939272,774.5,Bank Transfer,12/14/2023 19:59
66,251833,398.08,Credit Card,8/29/2023 8:12
67,1976,601.81,Debit Card,3/30/2024 18:13
68,680810,857.34,PayPal,8/28/2023 16:10
69,587687,456.47,Bank Transfer,12/17/2023 1:43
70,654782,596.83,PayPal,8/23/2023 19:30
71,856482,955.72,Debit Card,5/22/2024 14:44
72,797856,495.09,Credit Card,9/20/2023 3:32
73,462725,669.92,PayPal,10/2/2023 19:46
74,350364,894.74,Credit Card,1/8/2024 15:38
75,311252,293.69,PayPal,2/5/2024 16:31
76,735404,331.87,PayPal,8/8/2023 0:50
77,536808,342.11,Debit Card,10/29/2023 0:40
78,849355,95.99,Debit Card,5/23/2024 5:03
79,842482,975.14,Credit Card,3/27/2024 3:56
80,56997,309.19,Debit Card,6/26/2024 19:59
81,922858,627.54,Credit Card,9/18/2023 6:03
82,886986,630.69,Debit Card,12/3/2023 8:17
83,70974,107.18,Debit Card,10/12/2023 23:39
84,779874,354.37,Bank Transfer,9/1/2023 22:11
85,318085,625.72,Debit Card,7/26/2023 6:33
86,743905,837.52,Debit Card,8/6/2023 4:43
87,114425,402.84,PayPal,11/26/2023 20:01
88,486321,403.24,Debit Card,6/26/2024 20:12
89,164864,822.19,Bank Transfer,5/12/2024 10:38
90,561169,659.5,Credit Card,2/6/2024 15:01
91,842748,61.25,Credit Card,9/8/2023 1:28
92,804758,253.03,Bank Transfer,3/18/2024 3:39
93,313152,618.28,Bank Transfer,3/29/2024 22:42
94,173174,397.11,Bank Transfer,5/20/2024 0:05
95,526446,842.67,PayPal,3/29/2024 8:49
96,400205,812.67,PayPal,12/1/2023 6:07
97,725722,790.93,Credit Card,4/10/2024 22:43
98,894335,439.29,PayPal,6/26/2024 6:42
99,74114,616.01,Debit Card,10/26/2023 19:11
100,316775,241.28,PayPal,8/7/2023 20:12
101,731334,581.59,Credit Card,6/27/2024 2:11
102,996022,146.07,Credit Card,1/3/2024 17:02
103,89106,601.08,Credit Card,2/12/2024 1:23
104,137644,36.08,PayPal,4/10/2024 4:06
105,672131,648.65,Credit Card,1/31/2024 10:43
106,632165,923.07,Bank Transfer,8/21/2023 6:50
107,888921,498.67,Credit Card,5/7/2024 8:35
108,391822,340.87,Debit Card,8/10/2023 11:47
109,235489,681.77,Bank Transfer,12/6/2023 11:35
110,753633,885.35,Credit Card,5/30/2024 16:08
111,522503,328.55,Credit Card,4/21/2024 9:34
112,435360,113.79,Credit Card,6/1/2024 21:31
113,657244,155.03,Credit Card,10/7/2023 17:46
114,636447,642.86,Debit Card,2/26/2024 10:04
115,66680,713.27,Credit Card,8/27/2023 1:41
116,994341,531.3,Bank Transfer,4/3/2024 0:53
117,416254,683.15,Debit Card,9/3/2023 23:01
118,999586,160.54,Debit Card,7/25/2023 21:59
119,952450,718.11,Credit Card,10/14/2023 22:25
120,248185,175.16,PayPal,10/7/2023 5:38
121,422451,754.01,Bank Transfer,11/30/2023 15:45
122,506723,553.59,Bank Transfer,9/24/2023 7:56
123,223549,494.2,Credit Card,10/21/2023 16:31
124,128255,466.46,PayPal,1/6/2024 10:21
125,706305,187.87,Bank Transfer,2/25/2024 23:17
126,357601,427.28,Debit Card,5/14/2024 17:34
127,886164,686.42,PayPal,11/17/2023 1:47
128,863358,579.56,Debit Card,3/17/2024 19:33
129,813757,499.22,PayPal,11/21/2023 23:35
130,203062,710.53,Debit Card,10/10/2023 18:57
131,717145,938.28,Debit Card,1/5/2024 10:45
132,67174,829.15,Debit Card,12/3/2023 5:20
133,197401,786.77,Bank Transfer,12/17/2023 21:07
134,339219,110.3,Credit Card,4/8/2024 5:36
135,240497,748.06,Bank Transfer,1/27/2024 17:34
136,30873,831.94,Credit Card,5/17/2024 6:56
137,343015,412.28,Bank Transfer,9/20/2023 9:52
138,725656,235.12,Bank Transfer,9/16/2023 23:44
139,733363,789.47,Debit Card,6/9/2024 2:19
140,394506,899.35,Bank Transfer,11/6/2023 1:49
141,878074,584.39,Credit Card,10/2/2023 4:51
142,792766,976.96,Debit Card,1/30/2024 16:08
143,671530,320.84,PayPal,1/21/2024 23:58
144,565184,19.84,PayPal,6/1/2024 23:32
145,537746,475.98,Debit Card,3/23/2024 14:20
146,323315,432.36,PayPal,1/24/2024 23:53
147,896680,688.96,PayPal,9/28/2023 20:21
148,580864,758.82,Bank Transfer,5/28/2024 10:49
149,858918,896.78,PayPal,12/29/2023 8:25
150,916741,709.18,Bank Transfer,4/14/2024 23:11
151,137914,218.62,Bank Transfer,1/20/2024 7:29
152,912157,429.41,Bank Transfer,8/18/2023 21:02
153,253697,138.1,PayPal,11/6/2023 5:53
154,87742,548.54,Bank Transfer,5/10/2024 7:25
155,812968,765.5,Credit Card,6/7/2024 21:25
156,522775,555.09,Credit Card,5/22/2024 20:34
157,268486,250.34,Bank Transfer,9/1/2023 5:24
158,425564,230.21,Debit Card,8/8/2023 17:09
159,62662,80.3,PayPal,1/24/2024 12:23
160,988081,733.73,Debit Card,10/29/2023 9:38
161,213254,299.46,Credit Card,4/22/2024 1:46
162,647178,890.46,Credit Card,8/24/2023 14:30
163,547288,320.53,Credit Card,10/9/2023 6:00
164,222249,418.94,PayPal,2/26/2024 9:15
165,956185,408.3,PayPal,9/16/2023 11:02
166,765259,519.58,Credit Card,3/3/2024 0:50
167,347874,260.13,Debit Card,12/17/2023 15:14
168,29912,723.8,Bank Transfer,9/29/2023 16:43
169,809182,366.45,Debit Card,1/6/2024 15:43
170,967527,663.02,Bank Transfer,12/23/2023 21:55
171,231641,60.7,Bank Transfer,7/3/2024 18:23
172,112131,203.42,Credit Card,2/18/2024 4:26
173,844214,144.61,Bank Transfer,3/21/2024 15:29
174,824559,801.9,Bank Transfer,7/5/2024 18:33
175,331422,867.49,Debit Card,3/28/2024 22:21
176,468840,291.1,Bank Transfer,7/16/2024 9:09
177,608293,114.24,Debit Card,9/25/2023 20:49
178,299235,206.61,PayPal,12/4/2023 8:27
179,258319,393.74,Debit Card,12/30/2023 1:55
180,592139,51.82,Credit Card,9/11/2023 19:00
181,516832,707.98,Debit Card,8/10/2023 16:57
182,822684,478.03,Bank Transfer,3/20/2024 7:03
183,900029,970.84,Bank Transfer,4/21/2024 18:20
184,230161,676.12,Credit Card,11/4/2023 10:36
185,764919,885.11,Debit Card,5/24/2024 4:35
186,304304,43.71,PayPal,3/20/2024 19:03
187,825134,721.33,PayPal,7/11/2024 5:24
188,150091,696.78,Credit Card,9/25/2023 14:15
189,745502,672.56,Credit Card,4/3/2024 15:51
190,535847,669.22,Bank Transfer,1/11/2024 21:05
191,363965,548.01,Bank Transfer,8/2/2023 8:13
192,209580,213.1,Credit Card,4/7/2024 20:39
193,648244,236.02,Credit Card,8/13/2023 14:30
194,237348,43.8,PayPal,8/16/2023 4:11
195,8555,399.14,Debit Card,9/29/2023 11:02
196,486210,845.19,Credit Card,4/18/2024 12:04
197,831207,93.98,PayPal,10/1/2023 9:44
198,391642,984.57,Credit Card,10/22/2023 12:56
199,869135,403.14,Bank Transfer,12/13/2023 16:04
200,701770,883.19,Credit Card,4/11/2024 5:00
201,253082,593.58,Credit Card,3/20/2024 2:16
202,724355,498.98,Debit Card,4/9/2024 21:54
203,729551,175.52,PayPal,12/20/2023 12:03
204,346291,189.51,Credit Card,1/4/2024 23:11
205,249047,502.8,Credit Card,4/25/2024 16:16
206,451304,980.01,Bank Transfer,3/21/2024 11:26
207,265010,155.06,PayPal,9/24/2023 8:04
208,431384,193.21,Credit Card,8/18/2023 9:25
209,231561,606.34,Credit Card,12/15/2023 14:15
210,580690,18.56,Debit Card,7/12/2024 10:00
211,676260,895.05,Bank Transfer,7/7/2024 8:57
212,53677,152.91,Credit Card,12/6/2023 9:42
213,252941,333.61,Debit Card,10/17/2023 19:22
214,230245,904.53,Credit Card,8/13/2023 3:40
215,114704,521.95,PayPal,9/1/2023 11:28
