sale_id,customer_id,product_id,quantity,timestamp
1,186595,425933,3,2023-11-26 08:32:45
2,328474,335564,3,2023-09-24 19:57:24
3,655962,972839,4,2023-10-10 21:34:10
4,101709,951873,2,2023-12-19 16:14:45
5,438468,933841,5,2024-07-09 20:36:36
6,873223,127488,1,2023-11-21 09:19:17
7,201979,971749,3,2024-04-17 08:45:04
8,10393,975453,2,2024-03-03 01:30:41
9,34872,563887,1,2023-11-04 16:41:09
10,364470,325497,5,2024-05-05 13:05:50
11,613016,981018,2,2023-11-23 12:54:33
12,650499,784567,4,2024-01-28 16:43:14
13,227686,565081,3,2024-07-15 08:14:11
14,420782,494979,2,2024-04-21 18:15:06
15,873269,598334,4,2024-07-16 22:58:49
16,554365,310766,4,2024-04-17 07:11:27
17,7768,635957,4,2024-01-05 05:40:12
18,739687,615382,5,2024-02-24 16:58:55
19,444389,900536,1,2023-10-29 02:58:39
20,449132,683919,1,2024-05-25 14:05:42
21,842544,529384,2,2023-12-07 18:37:28
22,408412,418644,1,2023-11-24 01:02:12
23,762960,627539,2,2024-07-06 15:57:00
24,303303,301750,4,2023-10-19 12:18:13
25,190914,864916,4,2024-07-15 11:09:18
26,309982,72762,5,2024-04-20 17:05:30
27,569786,63144,3,2023-09-21 11:01:01
28,39438,995375,5,2024-02-21 12:22:26
29,598199,234592,5,2024-03-25 05:06:17
30,710241,580652,4,2024-07-07 06:34:10
31,148730,66991,5,2024-01-09 09:30:03
32,985356,52315,3,2024-06-27 18:54:05
33,857770,722663,4,2024-03-06 10:30:31
34,443824,276898,3,2024-07-14 11:54:44
35,318523,400505,4,2024-03-17 20:02:40
36,324226,254970,1,2024-04-28 05:24:03
37,780037,6947,1,2023-09-04 10:02:12
38,598381,528480,3,2024-07-20 09:20:13
39,647154,298219,4,2023-12-02 20:39:52
40,865076,313598,3,2024-05-17 00:29:27
41,307920,162497,3,2024-04-10 08:19:35
42,279039,315841,5,2024-07-03 04:58:48
43,808258,574896,4,2024-01-12 18:45:19
44,998445,772615,3,2024-05-03 16:34:09
45,854511,504497,1,2023-08-21 19:36:08
46,646235,679822,4,2024-04-23 21:12:45
47,708360,919289,1,2024-02-04 21:00:46
48,459467,2015,3,2024-01-28 01:57:32
49,688712,212212,3,2024-02-14 10:48:22
50,426435,969650,5,2024-01-15 15:06:40
51,955209,560794,5,2024-05-18 09:47:08
52,99515,940810,4,2024-02-07 04:10:18
53,982697,287377,1,2023-12-19 00:13:41
54,847037,408854,2,2024-03-01 06:45:37
55,172847,524070,5,2024-02-23 01:02:43
56,872030,175897,4,2024-03-16 03:05:08
57,463595,379475,4,2023-10-31 19:39:21
58,208906,645224,3,2024-02-19 13:20:19
59,397120,504260,1,2023-12-08 05:22:06
60,417557,470381,5,2024-05-21 17:48:26
61,579759,512426,3,2024-02-13 02:55:32
62,314455,298733,1,2023-09-17 18:50:54
63,785270,86489,2,2024-06-30 07:14:01
64,122284,668586,2,2024-02-26 00:23:33
65,2324,146580,3,2024-01-31 07:50:20
66,934111,329686,5,2024-01-31 07:30:25
67,658681,96601,1,2023-08-08 03:33:56
68,498765,127124,3,2024-02-02 14:47:04
69,426343,643414,3,2024-07-07 13:58:12
70,63820,631867,2,2024-04-04 14:03:18
71,628352,350628,2,2024-01-19 17:51:52
72,825914,358047,1,2023-12-19 21:44:04
73,896775,299758,1,2024-07-01 07:37:32
74,760732,381362,4,2024-01-05 20:49:35
75,251,5758,5,2023-08-10 03:51:35
76,633117,264383,1,2023-07-27 08:48:56
77,429627,33698,4,2024-01-01 02:31:29
78,603013,294984,1,2024-01-14 20:16:56
79,548690,590411,1,2023-09-10 20:47:07
80,652036,785278,2,2023-12-23 12:10:27
81,550059,494438,3,2024-03-07 16:56:02
82,390497,728853,1,2024-02-13 08:56:49
83,85748,589383,4,2024-03-03 01:34:06
84,90963,120907,4,2024-02-01 07:43:58
85,48602,272309,4,2024-02-29 17:19:43
86,62822,582383,5,2024-03-29 11:06:03
87,392634,562331,2,2024-02-01 21:06:34
88,109577,156166,3,2023-10-06 19:18:29
89,500594,763723,3,2023-08-27 01:14:14
90,104256,635820,5,2024-03-02 08:22:14
91,382679,146016,5,2024-02-25 14:07:39
92,226275,949788,1,2024-03-19 00:01:46
93,440138,548546,4,2024-04-04 06:11:20
94,211765,522268,3,2023-07-31 23:36:53
95,91310,426572,5,2024-04-08 12:17:55
96,18839,77482,5,2024-01-25 01:58:55
97,784702,838185,3,2023-08-12 11:36:36
